hospital,hospital_size,county,drg_code,name,price,address,latitude,longtitude
EvergreenHealth,Large,King,3,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",707407.9667,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",481304.005,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,20,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,298443.5875,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,23,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY,225376.5787,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,24,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,105068.8867,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,141082.9972,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,109786.0558,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,80722.564,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,29,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,126771.5,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,30,SPINAL PROCEDURES W/O CC/MCC,63648.05,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,33,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,33588.6,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,34,CAROTID ARTERY STENT PROCEDURE W MCC,61062.0,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,35,CAROTID ARTERY STENT PROCEDURE W CC,109511.9,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,37,EXTRACRANIAL PROCEDURES W MCC,54953.8,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,38,EXTRACRANIAL PROCEDURES W CC,51491.8743,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,39,EXTRACRANIAL PROCEDURES W/O CC/MCC,37869.4675,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,85918.475,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,55762.55,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,68836.1,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,52,SPINAL DISORDERS & INJURIES W CC/MCC,121997.6,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,53,SPINAL DISORDERS & INJURIES W/O CC/MCC,79995.2667,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,54,NERVOUS SYSTEM NEOPLASMS W MCC,51778.7588,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,55,NERVOUS SYSTEM NEOPLASMS W/O MCC,20887.3,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,71897.2585,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,75259.7465,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,41313.9,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,35430.405,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,31545.3,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
EvergreenHealth,Large,King,61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGEN",75485.7,"12040 NE 128th St, Kirkland, WA 98034",47.71568179,-122.1786413
